customer_id,age_group,gender,region,customer_segment,preferred_channel,purchase_frequency,avg_order_value,total_spent,recency_days,website_visits,discount_usage_rate,email_open_rate,cart_abandonment_rate,loyalty_score,engagement_score,churn_risk,churn_flag
C000001,18-24,Other,North,Loyal,Online,5,381.27,2108.8,189,27,0.38,0.13,0.42,33,35.5,Medium,1
C000002,25-34,Other,South,New,Mobile App,12,376.65,3843.06,277,68,0.51,0.06,0.07,68,49.5,Medium,1
C000003,55+,Other,North,VIP,Online,5,37.73,224.65,271,23,0.64,0.22,0.46,73,38.0,High,1
C000004,18-24,Male,North,Returning,Mobile App,12,191.19,1960.79,89,93,0.66,0.31,0.13,93,59.0,Low,0
C000005,55+,Other,North,Returning,Mobile App,2,279.64,594.79,264,4,0.73,0.27,0.58,11,34.5,High,1
C000006,55+,Male,West,VIP,Mobile App,8,31.9,292.15,44,61,0.72,0.56,0.79,81,38.5,Low,0
C000007,35-44,Male,North,VIP,In-Store,8,217.92,2068.34,213,34,0.25,0.75,0.34,69,70.5,Medium,0
C000008,35-44,Male,South,Loyal,Online,20,48.33,1155.48,344,87,0.27,0.06,0.21,17,42.5,High,1
C000009,18-24,Male,West,Loyal,In-Store,12,313.08,3290.78,231,70,0.74,0.77,0.41,42,68.0,Medium,1
C000010,55+,Male,East,VIP,Mobile App,3,297.25,956.98,35,14,0.14,0.66,0.66,99,50.0,Low,0
C000011,18-24,Male,West,Loyal,Mobile App,2,117.31,202.75,207,9,0.07,0.14,0.08,61,53.0,Medium,0
C000012,55+,Other,East,Returning,Mobile App,1,249.68,259.4,29,3,0.11,0.3,0.18,75,56.0,Low,0
C000013,18-24,Other,North,Returning,In-Store,8,132.34,939.0,284,54,0.19,0.81,0.48,98,66.5,Medium,1
C000014,18-24,Male,South,VIP,In-Store,2,182.3,414.3,233,7,0.17,0.5,0.44,60,53.0,Medium,1
C000015,45-54,Male,East,Loyal,In-Store,2,112.77,204.99,160,10,0.58,0.36,0.83,61,26.5,Medium,1
C000016,25-34,Other,East,New,Mobile App,12,76.27,1097.56,187,67,0.43,0.09,0.27,10,41.0,Medium,0
C000017,25-34,Other,Central,Returning,Online,2,75.06,153.32,160,10,0.49,0.12,0.35,26,38.5,Medium,0
C000018,45-54,Female,West,Returning,Mobile App,8,260.74,2164.19,240,54,0.16,0.48,0.61,12,43.5,High,1
C000019,35-44,Male,North,New,In-Store,8,277.47,1899.68,147,32,0.12,0.85,0.37,48,74.0,Low,0
C000020,45-54,Male,East,Returning,Mobile App,35,353.39,11629.99,252,106,0.79,0.49,0.26,10,61.5,High,1
